               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032192,            0.037568,           0.0058327,             0.80479,              0.5898,             0.67051,              0.4272,            0.027492,            0.036825,           0.0044497,             0.07001,           0.0033322,           0.0033322
                   1,             0.03176,            0.036026,           0.0051339,              0.7997,             0.59314,             0.67351,             0.42548,            0.027609,            0.036878,           0.0044502,            0.039977,           0.0066325,           0.0066325
                   2,             0.03213,            0.036721,           0.0054019,             0.78668,             0.57316,             0.65078,             0.40809,            0.028477,            0.038184,           0.0049698,           0.0099113,           0.0098999,           0.0098999
                   1,            0.031568,            0.035707,           0.0049696,             0.80483,             0.59137,             0.67132,             0.42482,            0.027677,            0.036983,           0.0044927,            0.039977,           0.0066325,           0.0066325
                   2,            0.032194,            0.036821,           0.0054818,             0.78558,             0.56654,             0.64675,             0.40579,            0.028633,            0.038343,           0.0050675,           0.0099113,           0.0098999,           0.0098999
